OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
18484,7,7,3
18485,8,8,2
18489,17,17,3
18492,14,14,3
18493,8,8,3
18496,29,29,5
185,3,3,2
18501,9,9,2
18503,23,23,2
18507,4,4,2
18513,8,8,2
18514,6,6,2
18522,7,7,3
18523,17,17,3
18530,28,28,5
18531,12,12,2
18533,12,12,3
18542,17,17,2
18551,39,39,5
18552,13,13,2
18554,22,22,4
18557,3,3,2
18558,7,7,3
18559,15,15,2
18560,10,10,3
18581,39,39,6
18584,5,5,3
18586,5,5,2
18587,5,5,2
18588,10,10,2
18595,6,6,2
18601,6,6,2
18605,4,4,2
18607,19,19,3
18615,14,14,3
18616,6,6,2
18623,3,3,2
18632,8,8,5
18634,21,21,2
18635,4,4,2
18637,5,5,2
18644,6,6,3
18650,13,13,4
18655,4,4,2
18664,27,27,8
18665,9,9,2
18667,9,9,2
18668,7,7,2
18674,5,5,2
18682,10,10,4
18683,8,8,3
18684,4,4,2
18690,5,5,3
18695,9,9,2
18709,8,8,2
18714,11,11,2
18717,4,4,3
18727,10,10,3
18734,8,8,2
18735,5,5,4
18736,11,11,3
18738,16,16,4
18741,2,2,2
18746,9,9,2
18765,8,8,2
18769,5,5,2
18774,3,3,2
18776,3,3,2
18778,16,16,2
18782,10,10,2
18785,3,3,2
18798,5,5,2
18799,6,6,2
18810,18,18,8
18811,4,4,3
18820,6,6,2
18825,12,12,4
1883,8,8,2
18830,7,7,5
18831,6,6,2
18832,3,3,2
18834,6,6,2
18839,6,6,2
1884,9,9,2
18841,5,5,2
18848,4,4,3
1885,11,11,3
18861,7,7,3
18864,12,12,3
18868,5,5,2
18872,12,12,2
18873,6,6,3
18881,3,3,2
18882,10,10,2
18886,2,2,2
18888,6,6,3
18892,13,13,4
18899,22,22,3
18900,10,10,3
18902,19,19,2
18907,7,7,2
18908,4,4,2
18909,9,9,2
18910,2,2,2
18913,8,8,2
18916,5,5,4
18919,6,6,2
18923,14,14,5
18927,8,8,2
18928,6,6,6
18933,8,8,3
18934,9,9,2
18937,13,13,3
18948,9,9,2
18949,9,9,3
1895,8,8,2
18959,9,9,2
18966,10,10,5
18968,7,7,2
18974,13,13,4
18984,36,36,4
18985,3,3,2
18994,3,3,2
18995,8,8,2
18997,5,5,2
18999,13,13,2
19003,2,2,2
19004,17,17,3
19011,4,4,2
19012,3,3,2
19014,10,10,4
19015,7,7,4
19016,9,9,3
19023,20,20,6
19024,3,3,2
19048,2,2,2
19049,10,10,2
